time,x,y,w,h,area
2026-02-03 20:54:46,49,371,45,58,1026.5
2026-02-03 20:54:46,305,448,65,32,858.0
2026-02-03 20:54:46,384,436,72,44,1416.5
2026-02-03 20:54:46,447,415,80,61,1352.5
2026-02-03 20:54:46,220,127,74,67,2133.5
2026-02-03 20:54:46,452,88,188,295,24390.5
2026-02-03 20:54:46,305,448,65,32,858.0
2026-02-03 20:54:46,384,436,72,44,1416.5
2026-02-03 20:54:46,447,415,80,61,1352.5
2026-02-03 20:54:46,220,127,74,67,2133.5
2026-02-03 20:54:46,452,88,188,295,24390.5
2026-02-03 20:54:46,384,436,72,44,1410.5
2026-02-03 20:54:46,447,426,38,50,835.5
2026-02-03 20:54:46,452,315,54,50,1037.0
2026-02-03 20:54:46,220,127,74,67,2133.5
2026-02-03 20:54:46,472,88,168,295,21876.5
2026-02-03 20:54:46,272,53,253,311,32187.5
2026-02-03 20:54:46,272,53,253,311,32187.5
2026-02-03 20:54:46,272,53,253,311,32187.5
2026-02-03 20:54:46,350,114,125,167,9282.0
2026-02-03 20:54:46,467,76,85,81,3025.5
2026-02-03 20:54:46,350,114,125,167,9282.0
2026-02-03 20:54:46,467,76,85,81,3025.5
2026-02-03 20:54:46,350,114,125,167,9282.0
2026-02-03 20:54:46,467,76,85,81,3025.5
2026-02-03 20:54:46,156,400,61,50,1150.5
2026-02-03 20:54:46,0,365,210,115,9304.0
2026-02-03 20:54:46,159,358,59,58,1011.0
2026-02-03 20:54:46,366,14,221,251,25920.5
2026-02-03 20:54:46,438,27,149,99,8575.0
2026-02-03 20:54:46,438,27,149,99,8594.0
2026-02-03 20:54:46,122,433,77,42,802.0
2026-02-03 20:54:46,401,0,239,145,19276.5
2026-02-03 20:54:47,402,0,238,117,16792.5
2026-02-03 20:54:47,420,0,220,98,11217.0
2026-02-03 20:54:47,446,0,194,92,10311.0
2026-02-03 20:54:47,446,0,194,91,8327.5
2026-02-03 20:54:47,446,0,194,61,5463.0
2026-02-03 20:54:47,278,198,128,143,7564.5
2026-02-03 20:54:47,59,29,76,84,1999.5
2026-02-03 20:54:47,203,0,70,56,1209.0
2026-02-03 20:54:47,278,198,128,143,7564.5
2026-02-03 20:54:47,59,29,76,84,1999.5
2026-02-03 20:54:47,203,0,70,56,1209.0
2026-02-03 20:54:47,278,195,128,146,7720.0
2026-02-03 20:54:47,59,29,76,84,1999.5
2026-02-03 20:54:47,203,0,70,56,1209.0
2026-02-03 20:54:47,547,406,93,74,3100.0
2026-02-03 20:54:47,253,276,294,204,27497.0
2026-02-03 20:54:47,26,0,614,341,75066.0
2026-02-03 20:54:47,547,406,93,74,3100.0
2026-02-03 20:54:47,253,276,294,204,27471.0
2026-02-03 20:54:47,26,0,614,341,72820.5
2026-02-03 20:54:47,547,406,93,74,3092.0
2026-02-03 20:54:47,253,307,294,173,24966.5
2026-02-03 20:54:47,26,0,605,341,71737.5
2026-02-03 20:54:47,0,0,640,480,224418.5
2026-02-03 20:54:47,0,0,640,480,223506.0
2026-02-03 20:54:47,44,66,59,56,1052.0
2026-02-03 20:54:47,0,12,640,468,162453.5
2026-02-03 20:54:47,387,0,253,137,17155.5
2026-02-03 20:54:47,0,0,640,480,277530.5
2026-02-03 20:54:47,0,0,640,480,277543.0
2026-02-03 20:54:47,0,0,640,480,244704.0
2026-02-03 20:54:47,0,261,114,117,5565.0
2026-02-03 20:54:47,0,0,640,480,274215.5
2026-02-03 20:54:47,0,261,114,117,5535.0
2026-02-03 20:54:47,0,0,640,480,275312.0
2026-02-03 20:54:47,0,261,113,117,5489.5
2026-02-03 20:54:47,0,0,640,480,243422.0
2026-02-03 20:54:47,0,0,640,480,296358.0
2026-02-03 20:54:47,0,0,640,480,295790.0
2026-02-03 20:54:47,0,0,640,480,285198.0
2026-02-03 20:54:47,0,0,640,480,299799.5
2026-02-03 20:54:47,0,0,640,480,299750.5
2026-02-03 20:54:47,0,0,640,480,299098.5
2026-02-03 20:54:48,0,0,640,480,293475.5
2026-02-03 20:54:48,0,0,640,480,293368.5
2026-02-03 20:54:48,0,0,640,480,293170.0
2026-02-03 20:54:48,0,0,640,480,289459.5
2026-02-03 20:54:48,0,0,640,480,289184.0
2026-02-03 20:54:48,0,0,640,480,287932.5
2026-02-03 20:54:48,0,0,640,480,291034.0
2026-02-03 20:54:48,0,0,640,480,286894.5
2026-02-03 20:54:48,166,447,109,33,1961.0
2026-02-03 20:54:48,0,0,640,480,279486.0
2026-02-03 20:54:48,232,0,97,61,1851.0
2026-02-03 20:54:48,0,0,640,480,284134.5
2026-02-03 20:54:48,232,0,90,61,1905.0
2026-02-03 20:54:48,0,0,640,480,265249.0
2026-02-03 20:54:48,232,0,73,29,1021.0
2026-02-03 20:54:48,0,0,640,480,278257.0
2026-02-03 20:54:48,0,0,640,480,303530.5
2026-02-03 20:54:48,0,33,41,47,880.0
2026-02-03 20:54:48,0,0,640,480,300321.5
2026-02-03 20:54:48,0,0,640,480,302197.0
